학원교습소명,학원명,개설일자,등록일자,등록상태명,정원합계,일시수용능력인원합계,분야명,교습계열명,교습과정명,도로명우편번호,도로명주소,도로명상세주소,구,lat,lon
학원,연세뮤직팩토리음악학원,20020104,20020109,개원,40,20,예능(대),예능(중),음악,463874,경기도 성남시 분당구 느티로 69,(정자동/숲안조합상가) 304호,분당구,37.368762450,127.112228977
교습소,연세뮤직팩토리포키즈교습소,20080401,20080401,개원,40,5,예능(대),예능(중),음악,463874,경기도 성남시 분당구 느티로 73,(정자동/현대조합상가) 201호,분당구,37.368771721,127.112782945
교습소,연세수학교습소,20161114,20161114,개원,24,6,입시.검정 및 보습,보통교과,보습,13528,경기도 성남시 분당구 동판교로 123,/ 203-202 (백현동/ 백현마을1단지판교푸르지오그랑블),분당구,37.394328853,127.114895638
학원,연세아카데미학원,20191219,20191219,개원,116,112,입시.검정 및 보습,보통교과,보습,13595,경기도 성남시 분당구 백현로 105,/ 204호 (수내동/ 로얄팰리스 하우스빌),분당구,37.376204724,127.112116227
교습소,연세첼로교습소,20050310,20050310,개원,3,3,예능(대),예능(중),음악,463864,경기도 성남시 분당구 돌마로 364,(수내동/현대제일상가) 223호일부,분당구,37.369990360,127.123626496
교습소,연세플룻교습소,20050506,20050506,개원,3,3,예능(대),예능(중),음악,463864,경기도 성남시 분당구 돌마로 364,(수내동/현대제일상가) 223호일부,분당구,37.369990360,127.123626496
교습소,연세피아노교습소,19930727,19930727,개원,30,1,예능(대),예능(중),음악,463930,경기도 성남시 분당구 매화로 12,(야탑동/탑마을) 근린상가 201호,분당구,37.408747139,127.134709291
교습소,연음피아노교습소,20090922,20090922,개원,20,5,예능(대),예능(중),음악,463852,경기도 성남시 분당구 내정로 172,(수내동/샹제리제빌딩) 209호,분당구,37.373649901,127.119962135
학원,열두달미술학원,20210513,20210513,개원,88,44,예능(대),예능(중),미술,13632,경기도 성남시 분당구 금곡로11번길 4-4,/ 1층 (구미동),분당구,37.343813780,127.110619795
교습소,열린클라리넷교습소,19981016,19981016,개원,1,3,예능(대),예능(중),음악,463806,경기도 성남시 분당구 성남대로779번길 48,(이매동/골든프라자) 405호,분당구,37.399493346,127.123281876
학원,열린하늘문학원,20150309,20150309,개원,149,102,종합(대),,,463410,경기도 성남시 분당구 운중로 242,/ 207호 일부/208호 (판교동/ 리버스토리),분당구,37.389213422,127.089706380
교습소,열림독서심리교습소,20150223,20150223,개원,12,7,입시.검정 및 보습,보통교과,보습·논술,463835,경기도 성남시 분당구 장미로 189,/ 203호 일부 (야탑동/ 매화마을 근린상가),분당구,37.413123118,127.142090627
학원,열정과꿈수학학원,20190208,20190208,개원,35,59,입시.검정 및 보습,보통교과,보습,13599,경기도 성남시 분당구 내정로 172,/ 306호 (수내동/ 상지상가빌딩),분당구,37.373649901,127.119962135
교습소,영단비영어교습소,20170227,20170227,개원,24,6,입시.검정 및 보습,보통교과,보습,13600,경기도 성남시 분당구 돌마로356번길 3,/ 304호 (수내동/그랜드빌딩),분당구,37.369730708,127.123322025
교습소,영어를담다영어교습소,20200810,20200810,개원,30,9,입시.검정 및 보습,보통교과,보습,13587,경기도 성남시 분당구 불정로 380,/ 308호 (서현동/ 동남프라자),분당구,37.373983931,127.136860587
교습소,영원음악교습소,20140227,20140227,개원,8,2,예능(대),예능(중),음악,463731,경기도 성남시 분당구 판교로 430,/ 202호 (이매동/아름타운),분당구,37.404766197,127.121866270
학원,영원한미소미술학원,20070323,20070323,개원,300,148,예능(대),예능(중),미술,463829,경기도 성남시 분당구 판교로 478,/ 금강프라자/ 501~503호 (이매동),분당구,37.405139153,127.126928342
교습소,영재들의미술상자판교봇들마을미술교습소,20180515,20180515,개원,5,5,예능(대),예능(중),미술,13492,경기도 성남시 분당구 판교로 372,/ 305호 (삼평동/ 스타식스코아1),분당구,37.403709282,127.115672976
교습소,예닮피아노교습소,19970715,19970715,개원,45,5,예능(대),예능(중),음악,463815,경기도 성남시 분당구 불곡로13번길 5,/ 1층 (정자동),분당구,37.359388360,127.124196411
학원,예들수학학원,20150311,20150311,개원,240,60,입시.검정 및 보습,보통교과,보습,463808,경기도 성남시 분당구 돌마로90번길 4,/ 1동 6층 603-1호 (구미동/ 엘레강스 프라자 1동),분당구,37.349715117,127.111735377
학원,예뜰아트미술학원,20200501,20200501,개원,8,40,예능(대),예능(중),미술,13560,경기도 성남시 분당구 정자일로 121,/ 상가동 2층 H-5호 (정자동/ 더샵스타파크),분당구,37.361322979,127.104866991
학원,예람음악학원,19980502,19980502,개원,5,27,예능(대),예능(중),음악,463750,경기도 성남시 분당구 수내로 181,(분당동/샛별마을) 근린상가 203호,분당구,37.371919638,127.128131545
학원,예쁜리더스브레인학원,20200319,20200319,개원,105,89,국제화,외국어,실용외국어(유아/초·중·고),13602,경기도 성남시 분당구 정자로 112,/ 유치원동 (정자동/ 정든마을신화5단지아파트),분당구,37.363202149,127.117845804
학원,예섬분당관학원,20170724,20170724,개원,2095,121,입시.검정 및 보습,보통교과,보습,13558,경기도 성남시 분당구 성남대로331번길 3-13,/ 305/ 306/ 403호 (정자동/ 대명제스트빌딩),분당구,37.364393218,127.107695832
학원,예술융합교육마이쌤학원,20160314,20160314,개원,45,49,예능(대),예능(중),음악,13536,경기도 성남시 분당구 판교역로10번길 23,/ 301호 (백현동/엘타워),분당구,37.385676481,127.111434336
학원,예스뮤직실용음악학원,20080612,20080612,개원,110,34,예능(대),예능(중),음악,463825,경기도 성남시 분당구 백현로101번길 16,(수내동/대덕프라자) 514/515호,분당구,37.377010307,127.112729960
교습소,예스영어교습소,20130426,20130426,개원,81,9,입시.검정 및 보습,보통교과,보습,13499,경기도 성남시 분당구 장미로 101,/ 1304호 1305호 (야탑동/ 장미마을),분당구,37.414279747,127.131835400
학원,예연미술학원,20001206,20001206,개원,80,55,예능(대),예능(중),미술,463874,경기도 성남시 분당구 느티로 73,(정자동/현대조합상가) 302호,분당구,37.368771721,127.112782945
학원,예영어학원,20150602,20150602,개원,84,77,입시.검정 및 보습,보통교과,보습,13597,경기도 성남시 분당구 내정로173번길 49,/ 3층 301호 (수내동/ 궁전프라자-3),분당구,37.377383949,127.115839932
교습소,예온미술교습소,20181004,20181004,개원,14,7,예능(대),예능(중),미술,13475,경기도 성남시 분당구 서판교로 147,/ 202호 (판교동/ 판교원마을상가동),분당구,37.398770965,127.094806267
학원,예온음악학원,20220215,20220215,개원,47,39,예능(대),예능(중),음악,13544,경기도 성남시 분당구 판교대장로 84,/ 402호 (대장동),분당구,37.366419832,127.068340794
교습소,예원미술원미술교습소,20211129,20211129,개원,27,9,예능(대),예능(중),미술,13611,경기도 성남시 분당구 느티로 70,/ 109호/110호 (정자동/ 느티마을공무원아파트),분당구,37.368341687,127.112064055
교습소,예원음악교습소,20060525,20060525,개원,11,4,예능(대),예능(중),음악,13611,경기도 성남시 분당구 느티로 70,/ 상가동 205호 (정자동/ 느티마을공무원아파트),분당구,37.368341687,127.112064055
교습소,예인피아노교습소,20050802,20050802,개원,20,5,예능(대),예능(중),음악,463749,경기도 성남시 분당구 수내로 201,(분당동/샛별마을) 근린상가 108호,분당구,37.371062075,127.129354657
